Date,iShares MSCI ACWI ETF
2008-04,39.2053337097168
2008-05,39.544010162353516
2008-06,36.38549041748047
2008-07,35.23695755004883
2008-08,34.6479606628418
2008-09,30.399782180786133
2008-10,24.804279327392578
2008-11,22.632339477539062
2008-12,23.869239807128906
2009-01,21.15247344970703
2009-02,19.09833526611328
2009-03,20.857973098754883
2009-04,23.523202896118164
2009-05,25.989639282226562
2009-06,25.39328384399414
2009-07,28.00702476501465
2009-08,28.838184356689453
2009-09,30.240751266479492
2009-10,29.4244441986084
2009-11,31.012556076049805
2009-12,31.383602142333984
2010-01,29.920284271240234
2010-02,30.57023048400879
2010-03,32.50515365600586
2010-04,32.430450439453125
2010-05,29.38985824584961
2010-06,28.089956283569336
2010-07,30.99006462097168
2010-08,29.66332244873047
2010-09,32.5731201171875
2010-10,33.79433059692383
2010-11,33.05557632446289
2010-12,35.286922454833984
2011-01,36.01191329956055
2011-02,37.1308708190918
2011-03,36.811161041259766
2011-04,38.58473587036133
2011-05,37.831146240234375
2011-06,36.72743225097656
2011-07,36.31765365600586
2011-08,33.644859313964844
2011-09,30.13248634338379
2011-10,33.54472732543945
2011-11,33.15959548950195
2011-12,32.48176574707031
2012-01,34.64363098144531
2012-02,36.357120513916016
2012-03,36.76213455200195
2012-04,36.341548919677734
2012-05,32.96908950805664
2012-06,34.16852951049805
2012-07,34.92565155029297
2012-08,35.89689636230469
2012-09,36.868160247802734
2012-10,36.67864227294922
2012-11,37.262962341308594
2012-12,37.96575164794922
2013-01,39.788658142089844
2013-02,39.748783111572266
2013-03,40.47453308105469
2013-04,41.62297058105469
2013-05,41.463478088378906
2013-06,39.87639236450195
2013-07,42.23433303833008
2013-08,41.265098571777344
2013-09,43.55087661743164
2013-10,45.27125549316406
2013-11,45.97394943237305
2013-12,46.53934097290039
2014-01,44.75083541870117
2014-02,47.08000564575195
2014-03,47.34874725341797
2014-04,47.91067886352539
2014-05,48.87165451049805
2014-06,49.07524871826172
2014-07,49.04183578491211
2014-08,50.30524826049805
2014-09,48.6372184753418
2014-10,49.2234992980957
2014-11,49.9006233215332
2014-12,48.306915283203125
2015-01,48.08281326293945
2015-02,50.73139190673828
2015-03,49.9901237487793
2015-04,51.422698974609375
2015-05,51.422698974609375
2015-06,49.515384674072266
2015-07,50.50975799560547
2015-08,47.071659088134766
2015-09,45.45372009277344
2015-10,48.933956146240234
2015-11,48.6727294921875
2015-12,47.0379524230957
2016-01,45.12115478515625
2016-02,44.55778503417969
2016-03,47.852664947509766
2016-04,48.492855072021484
2016-05,48.65504455566406
2016-06,47.99777603149414
2016-07,50.464359283447266
2016-08,50.637332916259766
2016-09,51.112998962402344
2016-10,50.135719299316406
2016-11,50.654624938964844
2016-12,51.173545837402344
2017-01,53.14997863769531
2017-02,54.485496520996094
2017-03,55.218727111816406
2017-04,56.109066009521484
2017-05,57.34856033325195
2017-06,57.165260314941406
2017-07,59.3797721862793
2017-08,59.618080139160156
2017-09,60.73894119262695
2017-10,62.045169830322266
2017-11,63.29841995239258
2017-12,63.62497329711914
2018-01,67.87757110595703
2018-02,64.84002685546875
2018-03,63.86907196044922
2018-04,64.12738800048828
2018-05,64.43026733398438
2018-06,63.35242462158203
2018-07,66.01654815673828
2018-08,66.4758529663086
2018-09,66.88114166259766
2018-10,61.909629821777344
2018-11,62.89132308959961
2018-12,57.78474044799805
2019-01,63.05005645751953
2019-02,64.60539245605469
2019-03,65.62409210205078
2019-04,67.87068939208984
2019-05,63.75041198730469
2019-06,67.04298400878906
2019-07,67.93415069580078
2019-08,66.4328842163086
2019-09,67.92493438720703
2019-10,69.78538513183594
2019-11,71.41558837890625
2019-12,72.99052429199219
2020-01,72.81100463867188
2020-02,67.35787200927734
2020-03,58.32524490356445
2020-04,64.05802917480469
2020-05,67.32058715820312
2020-06,68.71883392333984
2020-07,73.01337432861328
2020-08,77.41278839111328
2020-09,75.12847137451172
2020-10,73.45519256591797
2020-11,82.0942153930664
2020-12,85.28096771240234
2021-01,85.67696380615234
2021-02,87.637939453125
2021-03,90.13890838623047
2021-04,93.96613311767578
2021-05,95.3492431640625
2021-06,95.86080932617188
2021-07,97.42930603027344
2021-08,99.54753875732422
2021-09,95.33969116210938
2021-10,100.48262786865234
2021-11,98.16400909423828
2021-12,100.93107604980469
2022-01,97.34326934814453
2022-02,94.3642578125
2022-03,96.19600677490234
2022-04,88.4351577758789
2022-05,88.8304214477539
2022-06,80.87677001953125
2022-07,87.3991928100586
2022-08,83.58484649658203
2022-09,75.73234558105469
2022-10,80.53919982910156
2022-11,87.25323486328125
2022-12,82.59233093261719
2023-01,89.47706604003906
2023-02,86.50593566894531
2023-03,89.3888168334961
2023-04,90.79102325439453
2023-05,89.83988189697266
2023-06,94.07594299316406
2023-07,98.45398712158203
2023-08,95.5912094116211
2023-09,91.50010681152344
2023-10,89.17223358154297
2023-11,97.09689331054688
2023-12,100.81157684326172
2024-01,102.05000305175781
2024-02,105.01000213623047
