Date,OMX Helsinki 25 (Finland)
2013-04,2315.85009765625
2013-05,2346.2099609375
2013-06,2220.669921875
2013-07,2318.610107421875
2013-08,2379.75
2013-09,2630.5400390625
2013-10,2745.179931640625
2013-11,2816.360107421875
2013-12,2835.169921875
2014-01,2718.699951171875
2014-02,2922.030029296875
2014-03,2843.43994140625
2014-04,2842.35009765625
2014-05,2954.60009765625
2014-06,2920.179931640625
2014-07,2927.47998046875
2014-08,2938.179931640625
2014-09,2939.2900390625
2014-10,2929.02001953125
2014-11,3041.409912109375
2014-12,2988.080078125
2015-01,3260.68994140625
2015-02,3446.14990234375
2015-03,3507.469970703125
2015-04,3344.510009765625
2015-05,3375.110107421875
2015-06,3254.47998046875
2015-07,3396.800048828125
2015-08,3102.35009765625
2015-09,2966.85009765625
2015-10,3289.389892578125
2015-11,3468.919921875
2015-12,3359.3798828125
2016-01,3221.330078125
2016-02,3131.489990234375
2016-03,3179.389892578125
2016-04,3144.340087890625
2016-05,3248.2900390625
2016-06,3198.199951171875
2016-07,3384.22998046875
2016-08,3369.52001953125
2016-09,3489.60009765625
2016-10,3453.27001953125
2016-11,3491.10009765625
2016-12,3680.080078125
2017-01,3623.050048828125
2017-02,3718.77001953125
2017-03,3789.139892578125
2017-04,3930.030029296875
2017-05,3996.9599609375
2017-06,3940.760009765625
2017-07,3872.949951171875
2017-08,3883.81005859375
2017-09,3976.22998046875
2017-10,4026.97998046875
2017-11,3914.39990234375
2017-12,3917.969970703125
2018-01,4042.010009765625
2018-02,4128.0498046875
2018-03,4014.39990234375
2018-04,4163.330078125
2018-05,4236.3701171875
2018-06,4180.93994140625
2018-07,4239.009765625
2018-08,4353.740234375
2018-09,4337.89990234375
2018-10,3960.22998046875
2018-11,3792.81005859375
2018-12,3685.159912109375
2019-01,3982.679931640625
2019-02,4076.989990234375
2019-03,4030.840087890625
2019-04,4031.3798828125
2019-05,3798.89990234375
2019-06,3958.340087890625
2019-07,3909.02001953125
2019-08,3848.8798828125
2019-09,4040.159912109375
2019-10,4092.3701171875
2019-11,4059.929931640625
2019-12,4221.97998046875
2020-01,4300.080078125
2020-02,4026.22998046875
2020-03,3382.4599609375
2020-04,3739.2099609375
2020-05,3957.989990234375
2020-06,3927.389892578125
2020-07,4078.9599609375
2020-08,4308.7998046875
2020-09,4280.97021484375
2020-10,4057.0
2020-11,4564.66015625
2020-12,4586.14990234375
2021-01,4735.39013671875
2021-02,4789.27001953125
2021-03,4930.97021484375
2021-04,5119.75
2021-05,5217.27978515625
2021-06,5331.77001953125
2021-07,5626.259765625
2021-08,5669.93994140625
2021-09,5349.02001953125
2021-10,5388.56005859375
2021-11,5301.06982421875
2021-12,5571.97021484375
2022-01,5301.7998046875
2022-02,4891.77001953125
2022-03,4865.2900390625
2022-04,4882.68017578125
2022-05,4859.16015625
2022-06,4494.8798828125
2022-07,4795.5498046875
2022-08,4701.919921875
2022-09,4382.3798828125
2022-10,4606.52978515625
2022-11,4925.6201171875
2022-12,4825.43994140625
2023-01,4938.43994140625
2023-02,5027.02001953125
2023-03,4777.66015625
2023-04,4749.990234375
2023-05,4463.10009765625
2023-06,4419.8701171875
2023-07,4388.240234375
2023-08,4378.9599609375
2023-09,4269.52001953125
2023-10,4118.91015625
2023-11,4379.009765625
2023-12,4515.97021484375
2024-01,4583.5458984375
